,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
807,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
808,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
809,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
810,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
811,BT,10,10,10,10,10,10,10,1,0,2,0,1,0
812,BT,11,11,11,11,11,11,11,3,1,3,2,3,1
813,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
814,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
815,BT,11,11,11,11,11,11,11,3,1,2,1,3,1
816,BT,10,10,10,10,10,10,10,0,3,0,2,0,3
817,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
818,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
819,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
820,BT,10,10,10,10,10,11,11,2,0,0,0,1,0
821,BT,11,11,11,11,11,11,11,3,2,3,0,3,1
822,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
823,BT,10,10,10,10,11,11,11,2,0,2,0,2,0
824,BT,11,11,11,11,11,11,11,3,2,2,2,3,2
825,BT,10,10,10,10,10,10,10,0,3,0,2,0,3
826,BT,10,10,10,10,11,11,11,2,0,2,0,2,0
827,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
828,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
829,BT,10,10,10,11,11,11,11,2,0,1,1,2,0
830,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
831,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
832,BT,10,10,10,10,11,11,11,2,0,1,1,2,0
833,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
834,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
835,BT,10,10,10,10,10,11,11,2,0,0,0,2,0
836,BT,11,11,11,11,11,11,11,3,2,3,0,3,2
837,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
838,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
839,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
840,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
841,BT,10,10,10,11,11,11,11,2,0,1,1,2,0
842,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
843,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
844,BT,10,10,10,10,11,11,11,2,0,1,0,2,0
845,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
846,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
847,BT,10,10,10,11,11,11,11,2,0,2,0,2,0
848,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
849,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
850,BT,10,10,10,10,11,11,11,2,0,1,0,2,0
851,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
852,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
853,BT,10,10,10,10,11,11,11,2,0,1,0,2,0
854,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
855,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
856,BT,10,10,10,10,11,11,11,2,0,1,0,2,0
