,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
3977,FT,11,11,11,11,11,11,11,3,3,3
3978,FT,11,11,11,11,11,10,10,1,3,2
3979,FT,10,10,10,10,11,11,11,2,2,2
3980,FT,11,10,10,10,10,10,10,1,2,1
3981,FT,11,11,11,10,10,10,10,1,1,1
3982,FT,10,10,10,10,10,10,10,1,1,1
3983,FT,11,11,11,10,10,10,11,1,2,1
3984,FT,10,10,11,11,11,11,10,1,1,1
3985,FT,10,10,10,10,10,11,11,1,1,1
3986,FT,11,11,11,11,11,11,11,1,1,1
3987,FT,10,10,10,10,10,10,10,1,1,1
3988,FT,11,11,11,11,11,11,11,2,2,2
3989,FT,10,10,10,10,10,10,10,1,1,1
3990,FT,11,10,10,10,10,10,10,1,1,1
3991,FT,10,11,11,11,11,11,11,2,1,2
3992,FT,11,11,11,11,10,11,11,2,2,2
3993,FT,11,11,11,11,11,11,11,2,2,2
3994,FT,10,10,10,10,10,10,10,1,1,1
3995,FT,10,10,10,10,10,10,10,0,0,0
3996,FT,10,11,11,11,11,11,11,3,2,3
3997,FT,11,11,11,11,11,11,10,2,2,2
3998,FT,11,11,11,11,11,11,11,2,2,2
3999,FT,11,11,11,11,11,11,11,2,2,2
4000,FT,11,10,10,10,10,10,10,1,1,1
4001,FT,10,11,11,11,11,11,11,2,2,2
4002,FT,10,10,11,11,11,11,11,2,2,2
4003,FT,11,10,10,10,10,10,10,1,1,1
4004,FT,10,10,10,10,10,10,10,1,1,1
4005,FT,10,10,10,10,10,10,10,0,1,0
4006,FT,10,10,10,10,10,10,10,1,0,0
4007,FT,11,11,11,11,11,11,11,3,3,3
4008,FT,11,10,10,10,10,10,10,1,3,1
4009,FT,10,10,10,10,10,11,11,2,2,2
4010,FT,11,11,11,11,11,11,11,2,2,2
4011,FT,11,11,10,10,10,10,10,1,1,1
4012,FT,10,11,11,11,11,11,11,2,2,2
4013,FT,10,11,10,10,10,10,10,1,1,1
4014,FT,10,10,11,11,11,11,11,2,1,2
4015,FT,11,11,11,11,11,11,11,2,2,2
4016,FT,11,11,10,10,10,10,10,1,1,1
4017,FT,10,11,11,10,10,10,11,2,2,2
4018,FT,11,11,11,11,11,11,11,2,2,2
4019,FT,11,11,11,11,11,10,10,1,1,1
4020,FT,10,10,10,10,10,10,10,1,1,1
4021,FT,10,11,11,11,11,11,11,2,2,2
4022,FT,11,11,11,10,10,10,10,1,1,1
4023,FT,10,10,11,11,11,11,11,2,2,2
4024,FT,11,10,11,11,10,10,10,1,1,1
4025,FT,10,10,10,10,10,10,10,0,0,0
4026,FT,10,11,11,11,11,11,11,2,1,2
4027,FT,11,11,11,11,11,11,11,2,3,3
4028,FT,11,11,11,11,11,11,11,2,2,2
4029,FT,10,10,10,10,10,10,10,1,1,1
4030,FT,10,11,11,11,11,10,11,1,1,1
4031,FT,11,11,11,11,11,11,11,2,2,2
4032,FT,11,11,10,10,10,10,10,1,1,1
4033,FT,10,10,10,10,10,10,10,1,1,1
4034,FT,10,10,10,10,10,10,10,1,1,1
4035,FT,10,10,10,10,10,10,10,0,0,0
4036,FT,10,10,10,10,10,10,10,1,0,0
4037,FT,11,11,11,11,11,11,11,3,3,3
4038,FT,11,11,11,11,11,10,10,1,3,2
4039,FT,10,10,10,10,10,11,10,2,2,2
4040,FT,11,11,11,11,11,11,11,2,2,2
4041,FT,11,11,11,10,10,10,10,1,1,1
4042,FT,10,10,10,10,10,11,11,2,1,2
4043,FT,11,11,11,11,11,10,11,1,2,2
4044,FT,10,10,10,10,10,11,10,1,1,1
4045,FT,10,11,11,11,11,11,11,2,2,2
4046,FT,11,11,11,11,11,11,11,2,2,2
4047,FT,10,10,10,10,10,10,10,1,1,1
4048,FT,11,11,11,11,11,11,11,2,1,2
4049,FT,11,11,11,11,11,11,11,2,2,2
4050,FT,11,11,10,10,10,10,10,1,1,1
4051,FT,10,10,11,10,10,10,11,1,1,1
4052,FT,11,11,11,11,11,11,10,1,1,1
4053,FT,10,11,10,11,11,11,11,2,2,2
4054,FT,11,11,11,10,10,10,10,1,1,1
4055,FT,10,10,10,10,10,10,10,0,0,0
4056,FT,11,11,11,11,11,11,11,2,1,2
4057,FT,10,10,10,10,10,10,10,1,3,2
4058,FT,11,11,11,11,11,11,11,2,2,2
4059,FT,11,11,11,10,10,10,10,1,1,1
4060,FT,10,11,11,11,11,11,11,2,2,2
4061,FT,11,11,11,11,11,11,11,1,1,1
4062,FT,10,10,10,10,10,10,10,1,1,1
4063,FT,10,10,10,10,10,10,10,1,1,1
4064,FT,10,11,11,10,10,10,11,1,1,1
4065,FT,10,10,10,10,10,10,10,0,0,0
4066,FT,10,11,11,10,10,11,11,1,0,1
4067,FT,11,11,11,11,11,11,11,3,3,3
4068,FT,11,10,10,10,10,10,10,1,2,1
4069,FT,10,10,11,11,11,11,11,2,2,2
4070,FT,11,11,11,11,11,11,11,2,2,2
4071,FT,10,10,10,10,10,10,10,1,1,1
4072,FT,11,11,11,11,11,11,11,2,2,2
4073,FT,11,11,10,10,10,10,10,1,1,1
4074,FT,10,10,10,10,10,10,10,1,2,1
4075,FT,11,11,11,11,11,11,11,2,1,2
4076,FT,11,10,10,10,10,10,10,1,2,1
4077,FT,10,11,10,11,11,11,11,2,2,2
4078,FT,10,10,10,10,10,10,10,1,1,1
4079,FT,10,10,10,10,10,10,10,1,1,1
