,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
236,BT,96,2,0,1,0,2,0
237,BT,127,3,2,2,1,3,2
238,BT,0,0,3,0,2,0,3
239,BT,32,2,0,0,0,2,0
240,BT,127,3,2,3,0,3,2
241,BT,1,0,3,1,3,0,3
242,BT,32,2,0,1,1,2,0
243,BT,127,2,2,2,1,2,2
244,BT,1,0,2,2,2,1,2
245,BT,32,2,0,0,2,2,1
246,BT,71,1,2,0,0,1,2
247,BT,127,2,1,3,0,2,1
248,BT,0,1,2,0,3,1,2
249,BT,126,2,1,0,0,1,1
250,BT,127,2,2,3,0,3,1
251,BT,0,1,2,0,3,0,3
252,BT,0,1,1,0,0,1,0
253,BT,127,3,1,3,0,3,1
254,BT,0,0,3,1,3,0,3
255,BT,0,1,0,1,1,1,0
256,BT,127,3,1,3,1,3,1
257,BT,0,0,3,0,3,0,3
258,BT,0,1,0,1,0,1,0
259,BT,127,3,1,3,1,3,1
260,BT,1,0,3,0,3,0,3
261,BT,0,1,0,0,0,1,0
262,BT,127,3,1,3,0,3,1
263,BT,0,1,3,0,3,1,3
264,BT,0,1,1,1,0,1,1
265,BT,127,3,1,3,1,3,1
266,BT,0,0,3,0,3,0,3
267,BT,0,1,0,1,0,1,0
268,BT,127,3,1,3,1,3,1
269,BT,0,0,3,0,3,0,3
270,BT,96,1,0,0,0,1,0
271,BT,127,3,1,3,0,3,1
272,BT,1,0,3,0,3,0,3
273,BT,96,1,0,0,0,1,0
274,BT,127,3,1,3,0,3,1
275,BT,0,0,3,0,3,0,3
276,BT,120,2,0,1,0,2,0
277,BT,127,3,2,3,1,3,2
278,BT,0,0,3,1,3,0,3
279,BT,120,2,0,0,1,2,0
280,BT,127,3,2,3,0,3,2
281,BT,0,0,3,1,3,0,3
282,BT,112,2,0,1,1,2,0
283,BT,127,3,2,3,1,3,2
284,BT,0,0,3,0,3,0,3
285,BT,96,2,0,0,0,2,0
286,BT,127,3,2,3,0,3,2
287,BT,0,0,3,1,3,0,3
288,BT,0,2,0,0,1,2,0
289,BT,127,3,2,2,0,3,2
290,BT,0,0,3,2,2,0,3
291,BT,32,2,0,1,2,2,0
292,BT,127,2,2,2,1,2,2
293,BT,15,1,2,3,2,1,2
294,BT,0,2,1,0,3,2,1
295,BT,68,2,2,1,0,1,2
296,BT,127,2,2,3,1,2,1
297,BT,0,1,2,0,3,1,2
298,BT,120,2,1,2,0,2,1
299,BT,127,3,2,3,2,3,2
300,BT,0,0,3,0,3,0,3
301,BT,0,1,0,0,0,1,0
302,BT,127,3,1,3,0,3,1
303,BT,0,0,3,0,3,0,3
304,BT,0,1,0,1,0,1,0
305,BT,127,3,1,3,1,3,1
306,BT,1,0,3,0,3,0,3
307,BT,0,1,0,1,0,1,0
308,BT,127,3,1,3,1,3,1
309,BT,0,0,3,0,3,0,3
310,BT,0,1,0,0,0,1,0
311,BT,127,3,1,3,0,3,1
312,BT,0,0,3,0,3,0,3
313,BT,0,1,0,1,0,1,0
314,BT,127,3,1,3,1,3,1
315,BT,0,0,3,2,3,0,3
316,BT,96,1,0,1,2,1,0
317,BT,127,3,1,3,1,3,1
318,BT,0,0,3,0,3,0,3
319,BT,96,1,0,1,0,1,0
320,BT,127,3,1,3,1,3,1
321,BT,0,0,3,0,3,0,3
322,BT,112,2,0,0,0,2,0
323,BT,127,3,2,3,0,3,2
324,BT,0,0,3,0,3,0,3
325,BT,120,2,0,0,0,2,0
326,BT,127,3,2,3,0,3,2
327,BT,0,0,3,0,3,0,3
328,BT,120,2,0,1,0,2,0
329,BT,127,3,2,3,1,3,2
330,BT,0,0,3,1,3,0,3
331,BT,96,2,0,0,1,2,0
332,BT,127,3,2,3,0,3,2
333,BT,0,0,3,1,3,0,3
334,BT,96,2,0,1,1,2,0
335,BT,127,3,2,3,1,3,2
336,BT,0,0,3,0,3,0,3
337,BT,32,2,0,1,0,2,0
338,BT,127,3,2,3,1,3,2
339,BT,0,0,3,2,3,0,3
340,BT,32,2,0,0,2,2,0
341,BT,127,2,2,2,0,2,2
342,BT,7,0,2,3,2,1,2
343,BT,0,2,0,0,3,1,1
344,BT,70,2,2,1,0,2,1
345,BT,127,2,2,3,1,2,2
346,BT,0,1,2,0,3,1,2
347,BT,126,2,1,1,0,2,1
348,BT,127,3,2,3,1,3,2
349,BT,0,0,3,0,3,0,3
350,BT,64,2,0,1,0,1,0
351,BT,127,3,2,3,1,3,1
352,BT,0,0,3,0,3,0,3
353,BT,0,1,0,0,0,1,0
354,BT,127,3,1,3,0,3,1
355,BT,0,0,3,0,3,0,3
356,BT,0,1,0,1,0,1,0
357,BT,127,3,1,3,1,3,1
358,BT,0,0,3,0,3,0,3
359,BT,0,1,0,1,0,1,0
360,BT,127,3,1,3,1,3,1
361,BT,0,0,3,0,3,0,3
362,BT,0,1,0,1,0,1,0
363,BT,127,3,1,3,1,3,1
364,BT,0,0,3,1,3,0,3
365,BT,0,1,0,0,1,1,0
366,BT,127,3,1,3,0,3,1
367,BT,0,0,3,1,3,0,3
368,BT,112,2,0,0,1,2,0
369,BT,127,3,2,3,0,3,2
370,BT,0,0,3,1,3,0,3
371,BT,96,2,0,1,1,2,0
372,BT,127,3,2,3,1,3,2
373,BT,0,0,3,1,3,0,3
374,BT,126,2,0,1,1,2,0
375,BT,127,3,2,3,1,3,2
376,BT,0,0,3,1,3,0,3
377,BT,112,2,0,1,1,2,0
378,BT,127,3,2,1,1,3,2
379,BT,0,0,3,0,1,0,3
380,BT,112,2,0,3,0,2,0
381,BT,127,3,2,1,3,2,2
382,BT,0,0,3,0,1,0,2
383,BT,112,2,0,2,0,2,0
384,BT,127,3,2,3,2,3,2
385,BT,0,0,3,0,3,0,3
386,BT,96,2,0,0,0,2,0
387,BT,127,3,2,3,0,3,2
388,BT,0,0,3,1,3,0,3
389,BT,0,2,0,1,1,2,0
390,BT,127,3,2,3,1,3,2
391,BT,0,0,3,2,3,0,3
392,BT,0,2,0,1,2,1,0
393,BT,127,2,2,1,1,2,1
394,BT,1,0,2,3,1,0,2
395,BT,32,2,0,0,3,2,0
396,BT,127,2,2,1,0,1,2
397,BT,127,2,2,3,1,2,1
398,BT,0,1,2,0,3,1,2
399,BT,1,1,1,0,0,1,1
400,BT,127,3,1,3,0,3,1
401,BT,0,0,3,0,3,0,3
402,BT,0,1,0,1,0,1,0
403,BT,127,3,1,3,1,3,1
404,BT,0,0,3,0,3,0,3
405,BT,0,2,0,1,0,1,0
406,BT,127,3,2,3,1,3,1
407,BT,0,0,3,0,3,0,3
408,BT,0,1,0,1,0,1,0
409,BT,127,3,1,3,1,3,1
410,BT,0,1,3,0,3,1,3
411,BT,0,1,1,0,0,1,1
412,BT,127,3,1,3,0,3,1
413,BT,0,0,3,0,3,0,3
414,BT,0,1,0,1,0,1,0
415,BT,127,3,1,3,1,3,1
416,BT,0,0,3,1,3,0,3
417,BT,0,1,0,0,1,1,0
418,BT,127,3,1,3,0,3,1
419,BT,0,0,3,0,3,0,3
420,BT,96,2,0,2,0,2,0
421,BT,127,3,2,3,2,3,2
422,BT,0,0,3,0,3,0,3
423,BT,96,2,0,1,0,2,0
424,BT,127,3,2,3,1,3,2
425,BT,0,0,3,0,3,0,3
426,BT,112,2,0,1,0,2,0
427,BT,127,3,2,3,1,3,2
428,BT,0,0,3,0,3,0,3
429,BT,112,2,0,1,0,2,0
430,BT,127,3,2,2,1,3,2
431,BT,0,0,3,1,2,0,3
432,BT,124,2,0,0,1,2,0
433,BT,127,3,2,3,0,3,2
434,BT,0,0,3,0,3,0,3
435,BT,112,2,0,2,0,2,0
436,BT,127,3,2,3,2,3,2
437,BT,0,0,3,1,3,0,3
438,BT,120,2,0,2,1,2,0
439,BT,127,2,2,2,2,2,2
440,BT,0,0,2,1,2,0,2
441,BT,112,2,0,1,1,2,0
442,BT,127,3,2,3,1,3,2
443,BT,0,0,3,0,3,0,3
444,BT,96,2,0,1,0,2,0
445,BT,127,3,2,3,1,3,2
446,BT,0,0,3,1,3,0,3
447,BT,32,2,0,0,1,2,0
448,BT,127,3,2,3,0,3,2
449,BT,0,0,3,0,3,0,3
450,BT,32,2,0,2,0,2,0
451,BT,127,2,2,2,2,2,2
