,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
1323,BT,127,3,2,3,0,3,1
1324,BT,0,0,3,0,3,0,3
1325,BT,64,1,0,1,0,1,0
1326,BT,127,3,1,3,1,3,1
1327,BT,0,0,3,0,3,0,3
1328,BT,0,1,0,0,0,1,0
1329,BT,127,3,1,3,0,3,1
1330,BT,0,0,3,1,3,0,3
1331,BT,0,1,0,0,1,1,0
1332,BT,127,3,1,3,0,3,1
1333,BT,0,0,3,0,3,0,3
1334,BT,0,1,0,1,0,1,0
1335,BT,127,3,1,3,1,3,1
1336,BT,0,0,3,0,3,0,3
1337,BT,0,1,0,0,0,1,0
1338,BT,127,3,1,3,0,3,1
1339,BT,0,0,3,1,3,0,3
1340,BT,0,1,0,1,1,1,0
1341,BT,127,3,1,3,1,3,1
1342,BT,0,0,3,0,3,0,3
1343,BT,96,2,0,0,0,2,0
1344,BT,127,3,2,3,0,3,2
1345,BT,0,0,3,1,3,0,3
1346,BT,96,2,0,0,1,1,0
1347,BT,127,3,2,3,0,3,1
1348,BT,0,0,3,1,3,0,3
1349,BT,0,2,0,1,1,2,0
1350,BT,127,3,2,3,1,3,2
1351,BT,1,0,3,1,3,0,3
1352,BT,0,2,0,0,1,2,0
1353,BT,127,3,2,3,0,3,2
1354,BT,3,0,3,1,3,0,3
1355,BT,0,2,0,0,1,2,0
1356,BT,127,2,2,2,0,2,2
1357,BT,95,1,2,3,2,1,2
1358,BT,0,2,1,0,3,2,1
1359,BT,127,2,2,1,0,2,2
1360,BT,127,2,2,3,1,3,2
1361,BT,0,0,2,0,3,0,3
1362,BT,112,2,0,2,0,2,0
1363,BT,127,3,2,3,2,3,2
1364,BT,0,0,3,0,3,0,3
1365,BT,64,2,0,0,0,1,0
1366,BT,127,3,2,3,0,3,1
1367,BT,0,0,3,0,3,0,3
1368,BT,64,1,0,0,0,1,0
1369,BT,127,3,1,3,0,3,1
1370,BT,0,0,3,1,3,0,3
1371,BT,0,1,0,1,1,1,0
1372,BT,127,3,1,3,1,3,1
1373,BT,0,0,3,0,3,0,3
1374,BT,96,2,0,1,0,2,0
1375,BT,127,3,2,3,1,3,2
1376,BT,0,0,3,0,3,0,3
1377,BT,96,2,0,1,0,2,0
1378,BT,127,3,2,3,1,3,2
1379,BT,0,0,3,0,3,0,3
1380,BT,96,2,0,1,0,2,0
1381,BT,127,3,2,3,1,3,2
1382,BT,0,0,3,0,3,0,3
1383,BT,96,2,0,2,0,2,0
1384,BT,127,3,2,3,2,3,2
1385,BT,0,0,3,0,3,0,3
1386,BT,96,2,0,1,0,2,0
1387,BT,127,3,2,3,1,3,2
1388,BT,0,0,3,0,3,0,3
1389,BT,96,2,0,1,0,2,0
1390,BT,127,3,2,3,1,3,2
1391,BT,0,0,3,0,3,0,3
1392,BT,0,2,0,0,0,2,0
1393,BT,127,3,2,3,0,3,2
1394,BT,0,0,3,2,3,0,3
1395,BT,32,2,0,0,2,2,0
1396,BT,127,2,2,3,0,2,2
1397,BT,7,0,2,2,3,1,2
1398,BT,32,2,0,0,2,2,1
