,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
4097,FT,31,1,3,2,3,1,3
4098,FT,32,2,1,2,2,2,1
4099,FT,0,1,2,1,2,1,2
4100,FT,127,2,1,2,1,2,1
4101,FT,7,1,2,1,2,1,2
4102,FT,96,2,1,2,1,2,1
4103,FT,123,2,2,2,2,2,2
4104,FT,15,1,2,1,2,1,2
4105,FT,112,2,1,1,1,2,1
4106,FT,126,2,2,2,1,2,2
4107,FT,1,1,2,1,2,1,2
4108,FT,127,2,1,2,1,2,1
4109,FT,0,1,2,1,2,1,2
4110,FT,32,1,1,1,1,1,1
4111,FT,126,2,1,2,1,2,1
4112,FT,127,2,2,2,2,2,2
4113,FT,0,1,2,1,2,1,2
4114,FT,0,1,1,0,1,0,1
4115,FT,120,2,1,3,0,2,0
4116,FT,127,2,2,3,3,2,2
4117,FT,0,1,2,1,3,1,2
4118,FT,126,2,1,2,1,2,1
4119,FT,1,1,2,1,2,1,2
4120,FT,100,2,1,2,1,2,1
4121,FT,127,2,2,2,2,2,2
4122,FT,0,0,2,0,2,0,2
4123,FT,0,0,0,1,0,0,0
4124,FT,0,1,0,0,1,0,0
4125,FT,126,2,1,0,0,2,0
4126,FT,127,3,2,3,0,3,2
4127,FT,33,2,3,2,3,2,3
4128,FT,125,2,2,1,2,2,2
4129,FT,3,1,2,2,1,1,2
4130,FT,126,2,1,2,2,2,1
4131,FT,57,1,2,1,2,1,2
4132,FT,4,2,1,2,1,2,1
4133,FT,2,1,2,2,2,1,2
4134,FT,127,2,1,2,2,2,1
4135,FT,127,2,2,1,2,2,2
4136,FT,127,2,2,2,1,2,2
4137,FT,1,1,2,1,2,1,2
4138,FT,127,2,1,2,1,2,1
4139,FT,0,1,2,1,2,1,2
4140,FT,0,1,1,2,1,1,1
4141,FT,127,2,1,2,2,2,1
4142,FT,79,2,2,2,2,2,2
4143,FT,0,0,2,0,2,0,2
4144,FT,126,3,0,3,0,3,0
4145,FT,127,2,3,3,3,2,3
4146,FT,127,1,2,1,3,1,2
4147,FT,0,2,1,2,1,2,1
4148,FT,127,2,2,2,2,2,2
4149,FT,0,1,2,1,2,1,2
4150,FT,127,2,1,2,1,2,1
4151,FT,3,1,2,1,2,1,2
4152,FT,0,1,1,1,1,1,1
4153,FT,0,0,1,0,1,0,1
4154,FT,64,1,0,0,0,1,0
4155,FT,127,3,1,3,0,3,1
4156,FT,1,2,3,3,3,2,3
4157,FT,41,1,2,1,3,1,2
4158,FT,127,2,1,2,1,2,1
4159,FT,0,1,2,1,2,1,2
4160,FT,127,2,1,2,1,2,1
4161,FT,31,1,2,1,2,1,2
4162,FT,126,2,1,2,1,2,1
4163,FT,127,2,2,2,2,2,2
4164,FT,0,1,2,1,2,1,2
4165,FT,96,2,1,1,1,2,1
4166,FT,120,2,2,1,1,2,2
4167,FT,79,1,2,2,1,1,2
4168,FT,88,1,1,1,2,1,1
4169,FT,126,2,1,2,1,2,1
4170,FT,1,1,2,1,2,1,2
4171,FT,31,1,1,1,1,1,1
4172,FT,0,1,1,1,1,1,1
4173,FT,0,1,1,0,1,0,1
4174,FT,127,3,1,3,0,3,0
4175,FT,0,1,3,1,3,1,3
4176,FT,127,2,1,2,1,2,1
4177,FT,127,2,2,2,2,2,2
4178,FT,103,2,2,1,2,2,2
4179,FT,127,2,2,2,1,2,2
4180,FT,0,1,2,1,2,1,2
4181,FT,126,2,1,2,1,2,1
4182,FT,0,0,2,0,2,0,2
4183,FT,0,1,0,0,0,0,0
4184,FT,127,3,1,3,0,3,0
4185,FT,31,2,3,3,3,2,3
4186,FT,1,1,2,1,3,1,2
4187,FT,0,1,1,2,1,1,1
4188,FT,127,2,1,2,2,2,1
4189,FT,0,1,2,1,2,1,2
4190,FT,126,2,1,2,1,2,1
4191,FT,61,1,2,2,2,1,2
4192,FT,4,1,1,1,2,1,1
4193,FT,127,2,1,2,1,2,1
4194,FT,1,1,2,1,2,1,2
4195,FT,126,2,1,2,1,2,1
4196,FT,127,2,2,2,2,2,2
4197,FT,0,1,2,1,2,1,2
4198,FT,126,2,1,2,1,2,1
4199,FT,31,1,2,1,2,1,2
4200,FT,124,2,1,2,1,2,1
4201,FT,0,0,2,0,2,0,2
4202,FT,100,2,0,0,0,2,0
4203,FT,127,3,2,3,0,3,2
4204,FT,127,1,3,1,3,1,3
4205,FT,126,2,1,2,1,2,1
4206,FT,1,1,2,1,2,1,2
4207,FT,126,2,1,2,1,2,1
4208,FT,3,1,2,1,2,1,2
4209,FT,0,1,1,2,1,1,1
4210,FT,0,1,1,1,2,1,1
4211,FT,0,0,1,1,1,0,1
4212,FT,0,1,0,0,1,1,0
4213,FT,127,3,1,3,0,3,1
4214,FT,63,2,3,3,3,2,3
4215,FT,1,1,2,1,3,1,2
4216,FT,96,2,1,1,1,1,1
4217,FT,0,1,2,2,1,1,1
4218,FT,127,2,1,2,2,2,1
4219,FT,127,2,2,2,2,2,2
4220,FT,1,1,2,1,2,1,2
4221,FT,126,2,1,2,1,2,1
4222,FT,0,1,2,1,2,1,2
4223,FT,126,2,1,2,1,2,1
4224,FT,127,2,2,2,2,2,2
4225,FT,0,1,2,1,2,1,2
4226,FT,127,2,1,2,1,2,1
4227,FT,0,1,2,1,2,1,2
4228,FT,0,1,1,1,1,1,1
4229,FT,127,2,1,2,1,2,1
4230,FT,0,1,2,0,2,1,2
4231,FT,102,2,1,1,0,2,1
4232,FT,61,2,2,2,1,2,2
4233,FT,127,2,2,2,2,2,2
4234,FT,127,2,2,2,2,2,2
4235,FT,0,1,2,1,2,1,2
4236,FT,120,2,1,2,1,2,1
4237,FT,127,2,2,2,2,2,2
4238,FT,0,1,2,1,2,1,2
4239,FT,112,2,1,2,1,2,1
4240,FT,0,0,2,0,2,0,2
4241,FT,0,1,0,0,0,0,0
4242,FT,127,3,1,3,0,3,0
4243,FT,31,2,3,3,3,2,3
4244,FT,127,2,2,2,3,2,2
4245,FT,0,1,2,1,2,1,2
4246,FT,127,2,1,2,1,2,1
4247,FT,1,1,2,1,2,1,2
4248,FT,122,2,1,1,1,2,1
4249,FT,127,2,2,2,1,2,2
4250,FT,70,1,2,1,2,1,2
4251,FT,127,2,1,2,1,2,1
4252,FT,1,1,2,1,2,1,2
4253,FT,124,1,1,2,1,2,1
4254,FT,0,1,1,1,2,1,2
4255,FT,127,2,1,2,1,2,1
4256,FT,127,2,2,2,2,2,2
