,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
1828,CG,10,11,10,10,10,10,11,2,3,2
1829,CG,10,10,11,11,11,11,10,1,3,2
1830,CG,11,11,11,11,11,11,11,2,2,2
1831,CG,10,10,10,10,10,10,10,1,1,1
1832,CG,11,11,11,11,11,11,11,2,2,2
1833,CG,10,11,11,11,11,11,11,2,1,2
1834,CG,11,10,11,10,10,10,10,1,2,1
1835,CG,10,10,10,10,10,11,11,2,1,2
1836,CG,11,11,11,11,11,11,11,2,1,2
1837,CG,11,11,11,10,10,10,10,1,1,1
1838,CG,10,10,10,10,10,10,10,1,0,1
1839,CG,11,11,11,10,10,11,11,2,3,2
1840,CG,11,11,11,11,10,10,11,1,2,1
1841,CG,10,10,10,10,11,11,11,1,2,1
1842,CG,10,11,11,10,10,10,10,1,1,1
1843,CG,11,11,11,11,11,11,11,1,2,2
1844,CG,11,11,11,11,11,11,11,2,2,2
1845,CG,11,11,11,10,10,10,11,2,1,2
1846,CG,10,10,10,11,11,11,10,1,2,1
1847,CG,10,11,11,10,10,10,11,2,1,2
1848,CG,11,11,10,11,11,11,11,1,1,1
1849,CG,11,11,11,11,11,11,11,2,1,2
1850,CG,11,11,11,10,10,11,11,1,0,1
1851,CG,10,11,11,11,11,10,10,1,3,2
1852,CG,10,10,11,10,10,11,11,2,1,1
1853,CG,11,11,11,11,11,11,11,2,2,2
1854,CG,10,11,11,11,11,10,11,2,1,2
1855,CG,10,10,10,10,10,10,10,1,1,1
1856,CG,10,11,11,11,11,11,11,1,2,2
1857,CG,11,11,11,11,11,11,11,2,1,2
1858,CG,10,10,10,10,11,11,10,1,1,1
1859,CG,11,11,11,11,11,11,11,2,1,2
1860,CG,11,11,11,11,10,10,10,1,0,1
