,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
7041,SP,10,10,10,10,11,11,11,2,2,2
7042,SP,11,11,11,11,11,10,10,1,1,1
7043,SP,10,10,10,10,10,10,10,1,2,1
7044,SP,11,11,11,11,11,11,11,2,2,2
7045,SP,10,10,10,10,10,10,10,1,1,1
7046,SP,11,11,11,11,11,11,11,2,2,2
7047,SP,10,10,10,10,10,10,10,1,1,1
7048,SP,11,11,11,11,11,11,11,2,2,2
7049,SP,11,11,11,11,11,11,11,2,2,2
7050,SP,10,10,10,10,10,10,10,1,1,1
7051,SP,11,11,11,11,11,11,11,2,2,2
7052,SP,10,10,10,10,10,10,10,1,0,0
7053,SP,11,11,11,11,11,11,11,2,3,2
7054,SP,11,10,10,10,10,10,10,1,1,1
7055,SP,10,11,11,11,11,11,11,2,2,2
7056,SP,11,11,11,11,11,11,11,2,2,2
7057,SP,10,10,10,10,10,10,10,1,1,1
7058,SP,10,11,11,11,11,11,11,2,2,2
7059,SP,10,10,10,10,10,10,10,1,1,1
7060,SP,10,11,11,11,11,11,11,2,2,2
7061,SP,11,11,11,10,10,10,10,1,1,1
7062,SP,10,11,11,11,11,11,11,2,2,2
7063,SP,11,11,11,11,11,11,11,2,2,2
7064,SP,10,10,10,10,10,10,10,1,1,1
7065,SP,10,11,11,10,11,11,11,2,2,2
7066,SP,11,11,11,11,10,10,10,1,1,1
7067,SP,10,10,10,10,10,11,11,2,2,2
7068,SP,11,11,11,11,11,10,10,1,2,1
7069,SP,10,10,10,10,10,11,11,2,2,2
7070,SP,11,11,11,11,11,11,11,2,2,2
7071,SP,10,10,10,10,10,10,10,1,1,1
7072,SP,10,11,11,11,11,11,11,2,2,2
7073,SP,11,11,11,11,11,10,10,1,1,1
7074,SP,10,10,10,10,10,11,11,2,2,2
7075,SP,11,11,11,11,11,11,11,2,2,2
7076,SP,10,10,10,10,10,10,10,1,1,1
7077,SP,11,11,11,11,11,11,11,2,2,2
7078,SP,10,10,10,10,10,10,10,1,0,1
7079,SP,11,11,11,11,11,11,11,2,3,2
7080,SP,10,10,10,10,10,10,10,1,1,1
7081,SP,11,11,11,11,11,11,11,2,2,2
7082,SP,11,11,11,11,11,11,11,2,2,2
7083,SP,10,10,10,10,10,10,10,1,1,1
7084,SP,11,11,11,11,11,11,11,2,2,2
7085,SP,10,10,10,10,10,10,10,0,0,0
7086,SP,11,11,11,11,11,11,11,2,2,2
7087,SP,10,10,10,10,10,10,10,1,1,1
7088,SP,11,11,11,11,11,11,11,2,2,2
7089,SP,11,11,11,11,11,11,11,2,2,2
7090,SP,10,10,10,10,10,10,10,1,1,1
7091,SP,11,11,11,11,11,11,11,2,2,2
7092,SP,10,10,10,10,10,10,10,0,0,0
7093,SP,10,11,11,11,11,11,11,3,2,3
7094,SP,11,11,11,11,11,10,11,1,1,1
7095,SP,10,10,10,10,11,11,11,2,2,2
7096,SP,11,11,11,11,11,11,11,2,2,2
7097,SP,10,10,10,10,10,10,10,1,1,1
