,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
3769,EP,1377806143,35990621,443609014,77113373519.0,297370.78,5,5,297726.0,56619954949,2971429319,1352624816,556693969,77308762254.0,1374907998,189000000000.0,35111630,442550797,200000000000.0,76922651747.0,232991097,217465458,416000000000.0,195000000000.0,15.38,189.4,204.78
3770,EP,1384597739,35903449,440632797,77111302361.0,297904.63,20,20,297756.5,56682643182,2989721262,1353419943,556403162,77077187912.0,1374744157,189000000000.0,34976003,441977874,200000000000.0,76698501462.0,232628810,217082138,416000000000.0,194000000000.0,14.34,189.06,203.4
3771,EP,1365045380,35484863,452983223,76357516701.0,297503.6,484,484,297494.7,56237058532,3009799392,1332246273,569920278,76530701059.0,1352273201,189000000000.0,35478701,459904710,200000000000.0,75984350875.0,233292510,217798154,417000000000.0,195000000000.0,13.85,189.09,202.94
3772,EP,1014857814,32104796,646430860,62775035859.0,298125.97,3955,3955,297947.59,49722473450,3862430140,965829540,748732931,61094791723.0,968929235,191000000000.0,30372118,659544230,201000000000.0,60552869068.0,227747653,212479078,415000000000.0,195000000000.0,13.11,178.42,191.52999999999997
3773,EP,526926850,28279411,913001469,42453902066.0,296960.79,8283,8290,296972.41,42194204209,5042123450,510714879,936058320,42133918066.0,519923808,194000000000.0,27788440,922851074,204000000000.0,42130504205.0,226489820,211397088,416000000000.0,199000000000.0,8.85,167.52,176.37
3774,EP,468508996,22361764,934368081,40040751444.0,297639.59,1293,1286,297302.67,41352510842,5066542274,455775237,956222206,39888384013.0,462882671,193000000000.0,21745225,928780737,203000000000.0,39629264763.0,223589083,208725076,414000000000.0,197000000000.0,7.87,164.16,172.03
3775,EP,458125656,21840551,926048728,39593932997.0,296146.87,0,0,296448.88,41176095931,5060999829,449366527,956510062,39626359327.0,457227154,192000000000.0,20976082,926782551,203000000000.0,39472133973.0,223468191,208501048,414000000000.0,198000000000.0,7.6,163.94,171.54
3776,EP,457478570,20863312,921991826,39650782201.0,296718.75,0,0,296658.83,41185140827,5055964770,448067028,957718050,39610468937.0,456110098,192000000000.0,20315067,922778821,203000000000.0,39411412552.0,223119021,208261816,414000000000.0,197000000000.0,7.35,163.55,170.9
3777,EP,458919792,21226670,925023251,39617367320.0,296255.14,0,0,296051.49,41087458436,5051155210,449338441,955374969,39605336252.0,457130818,192000000000.0,20615563,927325346,202000000000.0,39420326470.0,223116954,208199376,413000000000.0,197000000000.0,8.4,163.63,172.03
3778,EP,458178852,21438139,926539832,39637090683.0,296158.76,52,52,296400.99,41160741601,5053660599,450143931,958950968,39702266897.0,457483264,193000000000.0,20903922,927253920,203000000000.0,39553625541.0,223800425,208953626,416000000000.0,198000000000.0,7.6,164.12,171.72
