,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
6576,MG,85597071,250666141,3170826160,49774797313.0,370961.57,69738,70380,374123.86,23074143821,20574013354,92772007,63363946,51027111797.0,93336852,246000000000.0,216206818,2825071330,264000000000.0,50160142553.0,313753642,293755868,531000000000.0,247000000000.0,35.89,240.31,276.2
6577,MG,84851533,203397872,2509109207,46036366222.0,379917.86,23886,23224,381977.01,18103324771,22152434331,83037491,55968466,46711455472.0,82088378,251000000000.0,248658936,3028509694,269000000000.0,46691114339.0,326465262,304144554,532000000000.0,246000000000.0,37.44,247.56,285.0
6578,MG,96017319,203362463,2409338206,45041116862.0,374843.72,49976,51291,363859.3,19374121591,16743530209,85535688,56875394,42208108522.0,85241669,231000000000.0,188769172,2188790039,247000000000.0,42050166323.0,292050575,271885796,490000000000.0,229000000000.0,31.96,220.7,252.66
6579,MG,86681273,244367996,3114444647,47101883673.0,346561.59,63093,61767,338407.25,19913979958,21126694156,89104152,60817775,45825329076.0,87250160,221000000000.0,217682268,2753581308,236000000000.0,46241773181.0,279691047,261069592,478000000000.0,224000000000.0,32.12,219.65,251.77
6580,MG,77437120,167378556,2069962912,40370728734.0,346500.04,4396,4487,352662.19,17021421647,17862837925,75664011,50854992,42603148788.0,77555356,228000000000.0,205024526,2407759313,242000000000.0,42458944037.0,292402103,272800654,486000000000.0,226000000000.0,33.54,224.89,258.43
6581,MG,88616566,196785996,2423856500,44271138554.0,346147.88,4325,4237,353849.92,20591706509,16603293844,91089549,60330431,43174763550.0,88936899,234000000000.0,194570717,2261446398,251000000000.0,42824857644.0,298344234,279349728,505000000000.0,236000000000.0,32.43,228.33,260.76
6582,MG,87280952,234041009,2925965839,45170432963.0,360763.71,10107,10155,341554.3,18452386238,22580095102,90863403,61493132,45284884850.0,86201851,217000000000.0,244805196,3039935043,234000000000.0,45226789406.0,280006521,260377698,464000000000.0,213000000000.0,32.41,216.3,248.71
6583,MG,105883173,174673623,2105609128,43379488824.0,332399.0,12243,12409,337838.76,20485738008,15281388290,103534035,66278380,43865597795.0,103514006,220000000000.0,171592356,2072610917,238000000000.0,44177711288.0,281649488,263504318,478000000000.0,225000000000.0,28.84,217.41,246.25
6584,MG,101165867,231704863,2862234715,47451637203.0,342911.66,11464,11443,344936.73,21844324790,19927316893,103889268,70098421,48090467925.0,102654126,229000000000.0,201514939,2652745720,244000000000.0,47881771260.0,286426333,267738912,487000000000.0,229000000000.0,33.67,222.99,256.66
6585,MG,87816718,193275975,2318278084,43736850751.0,342808.07,44139,44145,340634.23,17805967121,19719340214,95817759,60300488,44549331915.0,89653885,222000000000.0,214708019,2609255418,239000000000.0,44600259920.0,293412861,274514590,488000000000.0,226000000000.0,33.2,228.15,261.35
6586,MG,127151814,190268233,2361835686,50645053922.0,358258.67,31334,31191,366165.73,24755993907,18322815595,118832194,77401052,50283798851.0,115156162,237000000000.0,195166901,2424520962,254000000000.0,49755059336.0,296492505,275891462,499000000000.0,234000000000.0,32.92,227.94,260.86
6587,MG,103203019,249413031,3261037442,50158861106.0,351282.69,37348,37600,334883.63,21375332031,23970322841,107497028,74003386,50341601556.0,106365070,212000000000.0,231792431,3082597751,228000000000.0,50079970499.0,268897350,249526088,448000000000.0,207000000000.0,30.65,208.86,239.51000000000002
6588,MG,101215276,152162396,1938209732,43994688046.0,317332.37,68052,68149,323301.79,21153940453,14962337305,100268075,62982897,44079290251.0,97350382,213000000000.0,160746128,2051220201,230000000000.0,44302760440.0,274482897,257387858,470000000000.0,219000000000.0,29.39,215.23,244.62
6589,MG,122647763,202168159,2890592293,53795514602.0,340757.0,7796,7438,346911.57,25574000647,20322091116,120453915,82295676,53656220228.0,121885592,229000000000.0,195002517,2726399897,244000000000.0,53326203969.0,285729876,266286566,485000000000.0,227000000000.0,32.42,222.36,254.78000000000003
6590,MG,95333318,204591901,2456913220,45275160598.0,349480.95,18408,18457,356387.61,18696580170,22063561586,96408594,61981183,46743893408.0,91805198,231000000000.0,231965216,2869133199,249000000000.0,46444248383.0,301985324,282831570,506000000000.0,235000000000.0,35.65,238.24,273.89
6591,MG,128330373,190995799,2450570653,51707022146.0,363003.15,30711,30649,360503.1,24230144481,18214338059,118161714,81069382,50372772850.0,121858434,233000000000.0,187682671,2434847376,249000000000.0,50140032777.0,293409479,273485912,496000000000.0,232000000000.0,31.33,226.93,258.26
6592,MG,104770580,249391554,3215903645,50317163688.0,342824.57,9744,9742,328914.41,22118675953,22344671106,109754117,72654302,50464727209.0,104131600,211000000000.0,216947969,2988676353,226000000000.0,50761324163.0,265291816,245253022,440000000000.0,204000000000.0,29.66,205.88,235.54
6593,MG,100413517,150391754,1883242080,42318851133.0,326141.87,4907,4919,338128.92,19840250669,16576554918,93697321,60346006,43851707324.0,86675973,218000000000.0,177538223,2240333771,238000000000.0,43480560384.0,286228838,269044356,488000000000.0,227000000000.0,33.95,225.87,259.82
